,Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
11,1970,,,,,,,,,,,,,,3.4391534,4.372824,,-0.19965062,3.9084723,,1.7726033,,,1.6289812,6.1520934,,,,,3.9555092,,7.2842164,,,,,3.3460398,,3.6159868,,,,8.205191,5.8580856,8.025284,,6.9086227,,,4.6522975,7.2842164,,,,2.4001882,,3.4502416,,12.393499,6.5148416,3.8166666,6.6,,3.812665,,,,5.1299877,3.7628987,4.1406484,,5.731145,,10.121951,4.5060887,,2.7404203,4.1241784,5.299641,,,3.812665,6.3665686,,3.030303,,,-1.9850938,,,2.8416708,,,2.3443394,,,,,2.8808863,,,1.3684934,,,,,,12.399465,,,5.092262,,8.2071905,1.666871,4.355595,13.372476,6.110742,4.96832,14.728004,5.9,6.924174,,2.188527,,,,,15.950342,,4.3039036,,,,-5.2963715,13.398763,4.6522975,,,,5.866956,,,,,,4.6393533,,,,1.2791814,,,2.8786454,,3.7392788,5.0034122,,,,,3.715659,-4.0084386,4.059247,,,,,,1.541866,,1.843936,4.5921474,,,1.1178389,13.75708,,3.6689308,10.637206,15.237278,,6.517181,5.731145,,,5.349841,3.0832949,5.025236,14.381462,,,,,,,6.3801446,-0.859556,,,4.96832,,,,,0.5148858,5.6083984,0.17777778,4.027796,2.8102481,0.46335298,,,2.817854,,,,,,,,,2.5880425,,,7.016359,1.8495395,,,4.637681,,,,,4.4806204,-0.08804108,,,3.9555092,,4.059247,,5.6083984,,2.5239005,,7.923952,,3.4928849,,,,16.306145,5.8382554,,,,,,,,,2.7424095,,,4.991877,,
12,1971,,,,,,,,,,,,,,6.1381073,4.704258,,3.8509626,4.3436284,,2.0612183,,,5.7894735,4.6149716,,,,,3.6746142,,7.4692554,,,,,2.7049181,,6.573221,,20.05223,,-0.44374543,4.0140295,5.77735,,12.056738,,,3.0830483,4.6149716,,,,4.1440063,,5.240974,,3.637406,5.8698697,3.580029,2.6266418,,4.195298,,,,8.384026,3.1404216,5.0163193,,8.236887,,0.5362243,5.240974,,6.475765,9.138194,5.3975186,,,3.863261,9.444838,,9.558824,,,3.0562258,,,3.2894707,,,-0.45359188,,,,,2.223248,,,9.579583,,3.6352525,,,,4.233749,,,3.0799387,,8.961749,4.195298,3.5958905,6.7318745,11.972577,4.7916646,5.3361793,4.815864,6.395349,,3.7802062,,,,,13.511703,,4.3139358,,,,-3.1038494,8.391345,4.7841144,,,,2.6653802,,,,,,4.672215,,,,4.155352,,,5.3858814,,4.1753254,5.469029,,,,,2.3238122,2.087912,3.8756213,,,,,,0.31634447,,1.6130359,3.4988425,,,4.1916165,15.999115,,7.477679,6.223863,-1.9995039,,10.387568,6.395349,,,4.7306914,1.9196428,6.7906394,21.403343,,,1.1,,,,11.946898,4.953257,,,6.1381073,,,,,0.48858008,2.8726594,4.475,1.303669,3.8782027,1.7610062,,,0.44580868,,,,,,,,,0.21555166,,,7.395541,2.3216612,,14.599293,5.6094184,,,,,6.492061,0.48465267,,,4.3139358,,3.8756213,,2.8726594,,3.5310209,,19.011408,,4.775,,,,23.953089,4.2927666,,,,,,,,,4.766444,,,5.957398,,
13,1972,,,,,,,,,,,,,,6.0240965,6.355146,,3.8285577,5.4484315,,-2.9233565,,,5.0881953,6.8308115,,,,,6.511544,,11.876657,,,,,4.9880285,,6.660007,,77.79574,,0.3103137,8.092918,15.804215,,12.025316,,,4.6011257,6.8308115,,,,4.8323035,,5.4849367,,3.6879957,6.562361,8.640732,3.6563072,,6.075,,,,7.8818936,2.1023633,5.9062533,,8.272287,,-6.081512,6.0073895,,6.662498,21.978504,6.063003,,,3.4870915,7.0710983,,10.067114,,,8.69812,,,4.331201,,,0.52970326,,,,,3.6122818,,,3.189694,,5.8885946,,,5.9533224,6.521749,,,6.4420977,,8.605818,6.3982415,5.1859503,9.811324,12.881461,5.749504,5.427703,7.6576576,4.8435173,,5.8316445,,,,,11.688987,,5.1856976,,,,-0.2510232,7.880576,6.671178,,,,6.349486,,,,,,5.2256804,,,,3.7591705,,,5.6225595,,4.045175,4.943692,,,,,3.372761,7.6426263,3.7077389,,,,,,5.3959355,,3.2315543,4.1301537,,,9.751168,3.4576497,,7.802792,7.2584357,8.389024,,6.9328046,6.562361,,,5.1832376,5.4095488,7.2197223,8.204034,,6.075,-0.09891197,,,,10.663356,9.180375,,,6.063003,,,,,3.0921938,6.3957915,4.3311796,13.55475,6.1548843,2.080758,6.8775463,,1.5352154,,,,,,,,,3.2342865,,,6.0073895,2.3663323,,20.940994,2.0983605,,,,,7.726608,4.8377666,,,5.9696236,,3.7077389,,6.3957915,,9.301069,,15.416455,,7.6354094,,,,76.484924,3.2722783,,,,,,,,,7.5068245,,,6.4257083,,
14,1973,,,,,,,,8.266666,,,,,,9.090909,7.531078,,6.0064936,6.9552803,,7.6038904,,,14.331827,5.4817543,,,,,31.486029,,16.855082,,,,,7.487647,,8.75467,,352.81097,,11.102986,10.384748,15.642762,,22.59887,,,15.214034,13.4406,,,,7.808882,,7.032026,,12.099116,9.303383,15.079535,6.1728396,,12.08194,,,,13.011762,5.112184,7.915546,,11.416708,,8.91358,7.749086,,10.754472,11.085319,7.380601,,,6.2071414,9.1960335,,17.682926,,,6.9186087,,,15.3846245,,,13.796034,,,,,5.1932015,,,22.73892,3.387978,12.868854,,,10.735033,31.041882,,,16.940817,,11.41485,9.819487,4.890984,21.35493,20.032373,10.798617,17.682592,11.129707,11.6086235,,9.281195,,,,,3.221029,8.266666,13.226181,,,,7.970896,13.4406,13.618318,,,,9.626643,,,,,,6.0680985,,,,4.084614,,,6.120102,,8.266666,12.08194,,,,,7.68929,25.2,7.0718675,,,,,,13.450798,,10.560176,6.8327036,,,11.785015,5.4026647,,8.02221,7.4194727,11.429772,,8.166669,9.143471,,,23.070084,6.8564305,9.489051,16.580032,,8.343153,2.4752476,,,,12.974608,12.796894,,,8.0944395,,,,,9.373674,14.185294,16.513762,15.289088,11.285311,19.63673,3.2286994,,6.391974,,,,,,,,,12.940813,,,6.7179976,11.543526,,18.239796,20.359667,,,,,3.615315,15.50955,,,13.618318,,7.0718675,,14.185294,,14.810745,,13.938166,,10.396808,,,,96.99727,6.17776,,,,,,,,,11.764243,,,9.433988,,
15,1974,,19.598394,,,,,,15.528282,,,,,,15.416667,9.521789,,15.722307,12.677888,,8.719609,,,24.392998,13.071846,,,,,62.836075,,38.922928,,,,,10.997171,,9.767414,,504.73856,,17.359388,17.232933,29.46928,,22.580645,,,30.07363,27.15819,,,,16.176666,,6.9864326,,34.376076,15.275207,13.140767,4.6996126,,19.070473,,,,23.321354,10.024318,14.664845,,15.680373,,8.592156,13.163603,,16.9364,14.498469,13.649318,,,12.072804,16.044012,,18.134714,,,9.23631,,,26.560846,,,16.494896,,,,,12.849547,,,14.950697,1.7970402,19.357742,,,20.488615,40.49179,,,28.598734,,16.976128,14.248936,7.7,42.516182,39.679977,19.15977,27.15819,19.427711,23.222246,,17.809948,,,,,24.3042,12.992611,22.951,,,,7.4584517,34.220604,22.951,,,,12.302887,17.809948,,13.422834,,,9.540655,,,,17.556822,,,22.100945,,14.248936,23.784016,,,,,7.255616,25.211662,12.136626,,,,,,29.115631,,17.328981,11.025988,,,3.3975084,12.674394,,9.591423,9.411768,19.806337,,11.109402,15.54852,,,26.663034,16.268066,16.891666,34.163593,,23.167282,7.05314,,,,25.082777,25.233318,,,13.163603,,,,,31.088299,23.234686,21.437008,26.158102,16.601091,22.368422,18.85317,,16.899036,,,,,,,,,16.876196,,,9.911725,19.287775,,24.424667,15.528282,,,,,12.831932,24.31356,,,22.951,,12.136626,,23.234686,,22.024977,,23.89816,,19.598394,,,,77.21342,11.054805,,,,,,,,,24.987679,,,11.724126,,
16,1975,,15.224099,,,,,,9.669696,,,,,,15.162455,8.445259,,15.709874,12.768199,,18.756947,,,16.159782,10.359635,,,,,7.976746,,20.294468,,,11.974755,,10.672189,,6.696595,,374.73526,,11.444224,13.553329,28.65797,,25.18797,,,17.369202,17.177603,,,,4.639486,,5.910329,,19.902788,9.605612,14.501726,8.230317,,12.879182,,,,15.362986,9.669696,12.227063,,16.953285,,6.5501046,10.467573,,17.811398,13.064881,11.685927,,,28.452942,24.207287,,29.824562,,,25.925,,,13.628762,,,13.159245,,,,,8.376163,,,16.773571,3.84216,12.879182,,,17.742788,19.165697,,,5.7484303,,20.87585,12.879182,9.517178,49.36134,39.306732,16.950502,17.376146,11.979823,11.731266,,19.120184,,,,,25.249256,8.39237,15.362986,,,,9.119201,17.742788,16.773571,,,,6.625993,12.045742,,14.21194,,,10.717671,,,,7.918289,,,8.191213,,9.669696,14.944534,,,,,8.791667,31.655663,9.593436,,,,,,14.738323,,4.4877224,9.907668,,,9.115802,33.964188,,10.217476,11.689223,7.585985,,14.684983,14.156873,,,20.904509,5.8810415,23.618734,6.7614026,,10.490993,2.2563176,,,,15.271686,6.69306,,,11.687575,,,,,30.226048,7.105989,34.576107,23.963047,31.653423,2.5365317,10.069445,,19.0885,,,,,,18.311787,,,8.447329,,,9.779874,12.045742,,18.611372,11.464968,,,,,18.0122,5.330097,,,16.773571,,9.593436,,7.105989,18.311787,16.979061,,21.227356,,26.057756,,,,81.40538,9.1431465,,6.7977066,,,,,,,8.787743,,,13.425941,,
17,1976,,11.216472,,,,,,10.317416,,,,,,13.322884,7.3186855,,6.8565516,9.06861,,-8.400719,,,22.495766,4.2558365,,,,,4.494012,,4.9867682,,,11.732424,,7.5417385,,1.7154763,,211.9243,,12.07664,9.930651,80.385956,,18.918919,,,3.4858334,9.931596,,,,3.8543897,,4.2466345,,10.902496,9.010291,7.76555,9.430736,,10.193477,,,,10.671393,10.317416,9.711421,,17.62488,,28.53784,9.347053,,14.342693,11.432436,9.625496,,,20.171564,16.559523,,56.08108,,,17.02733,,,13.02428,,,10.725,,,,,4.883419,,,7.038152,5.2283983,10.317416,,,10.902496,19.828653,,,-7.633948,,17.985697,11.256143,12.82323,32.03511,31.310867,16.614166,9.7936535,11.5,9.374037,,11.449031,,,,,15.32732,5.2350426,9.7936535,,,,5.479215,9.66912,9.7936535,,,,1.3295187,7.6566496,,11.412552,,,9.797346,,,,8.502152,,,4.986815,,11.256143,15.824722,,,,,0.55151284,22.384401,10.786779,,,,,,12.9557295,,2.6337116,6.6432757,,,23.52968,24.3,,8.830651,9.161472,-3.1132357,,16.906857,11.636752,,,7.158324,3.95,33.483276,9.199227,,7.6566496,4.4130626,,,,21.141905,4.4746146,,,9.267755,,,,,7.1658616,-0.8918585,31.55866,1.6748843,1.0830922,-1.841893,4.255319,,7.0346894,,,,,,11.544881,,,10.069538,,,10.249225,6.530913,,14.868733,11.428572,,,,,11.640731,4.1493053,,,10.069538,,10.786779,7.1095757,-0.8918585,11.544881,10.692465,,17.455688,,6.85935,,,,50.62305,5.7448125,,11.288982,,,,,,,4.903687,,,11.0203905,,
18,1977,,14.238055,,,,,,11.989284,,,,,,12.30982,5.4946156,,6.834514,7.0960007,,29.986105,,,17.731121,3.1898763,,,,,8.107256,,8.352369,,,13.168724,,7.976445,,1.2959992,,91.95413,,27.421862,14.698309,68.94771,,34.090908,,,4.1902404,9.7311325,,,,7.3264604,,3.7341685,,9.503655,10.922237,12.853527,11.989284,,12.156932,,,,13.014055,12.732162,9.767465,,24.538063,,16.657139,9.767465,,11.793347,7.0063043,9.4945545,,,13.852569,15.840267,,116.45022,,,12.38973,,,12.369797,18.456884,,12.324579,,,,,8.434708,,,6.4919004,3.9088957,11.820277,,,10.159941,11.05209,,,8.30747,,13.472225,27.287785,9.167763,30.316742,34.616714,17.130049,11.191002,14.566517,8.161827,,14.820965,,,,,10.096665,9.88952,10.688957,,,,6.280213,8.865732,10.688957,,,,1.2248796,11.472362,,16.688313,,,6.705494,,,,12.597001,,,3.108953,,11.989284,29.064125,,11.265794,,,10.040375,-1.1566873,12.293142,,,,,,9.172499,,4.788224,7.2390647,,,23.25109,15.087834,,6.399295,9.10384,9.898853,,14.38355,11.182021,,,10.132968,4.585538,38.054092,9.898751,,4.528582,4.9027896,,,,31.016748,9.359853,,,9.299197,,,,,13.655147,9.103162,11.399012,17.07633,11.340586,3.1639502,8.61678,,11.820277,,,,,,14.890066,11.191002,,9.7311325,,,11.441805,20.805122,,14.959168,11.965812,,,,,22.457014,7.601267,,,11.467933,,12.293142,17.53794,9.103162,14.890066,11.7448635,,25.985338,,11.604138,,,,58.196175,6.501684,,10.1869135,,,,,5.7365093,,14.61079,,,11.151964,,
19,1978,,12.526893,,,,,,9.716033,,,,,,8.004926,3.5743186,,23.89562,4.4705935,,8.26914,,,15.785538,6.1090703,,,,,10.355672,,9.482383,,,9.043988,,8.973723,,1.0287929,,40.087223,,13.242987,12.463053,48.76904,,17.514124,,,6.0071273,9.482383,,,,7.436283,,2.7186906,,7.7125793,10.2136545,3.4778504,17.523924,,9.314183,,,,11.650073,11.0781,7.5737123,,19.77367,,14.308114,7.755246,,7.7993507,6.108071,9.250559,,,10.764169,8.263141,,73.09167,,,8.855346,,,12.572426,18.135376,,8.287976,,,,,5.748325,,,-2.673595,4.687143,10.355672,,,9.653523,8.112582,,,2.5230486,,7.711141,11.72197,4.611943,43.75,50.550953,12.094014,34.899803,6.921521,4.209566,,16.931782,,,,,14.460285,8.689745,10.50796,,,,29.379795,10.877519,10.306129,,,,12.141598,8.315099,,13.483579,,,3.0946608,,,,9.716033,,,6.528447,,9.716033,17.457293,,8.933759,,,4.7075114,-6.0447063,10.397066,,,,,,8.545139,,4.8600645,8.302343,,,10.093201,21.709246,,4.112012,8.161672,7.3460913,,11.956618,8.618432,,,6.138693,4.2005215,57.84878,7.334526,,5.8,8.101266,,,,21.038773,10.660248,,,8.083299,,,,,13.270534,6.742392,-1.5836018,19.230404,3.419651,4.872544,6.263048,,13.275124,,,,,,11.45943,8.855346,,8.823529,,,9.995265,8.517614,,11.783251,4.80916,,,,,0.4427731,7.92409,,,10.50796,,10.397066,9.584379,6.742392,11.45943,10.256586,,61.897045,,6.575,,,,44.548344,7.630964,,8.429528,,,,,6.413793,,2.0586588,,,11.135608,,
20,1979,,15.06985,,,,,,,,,,,,9.122006,3.707401,,36.540756,4.469084,,14.993466,,,2.205992,9.091393,,,,,19.719717,,13.169835,,,11.736231,,9.144677,,3.64764,,33.389217,,16.342356,6.5806108,101.05126,,24.198717,,,9.188411,14.782239,,,,9.463708,,4.043622,,,9.611051,9.173805,11.3486,,11.542416,,,,10.266256,9.904361,8.465335,,15.660235,,16.032236,8.221687,,7.4669614,7.8067584,10.646734,,,7.9526987,13.42128,,54.441288,,,6.1289577,,,19.094175,20.882883,,11.343386,,,,,12.135356,,,13.0939245,8.976413,12.886914,,,8.267047,16.232765,,,6.2756834,,13.295454,10.487237,,44.444454,78.31001,14.7985735,29.07926,14.246491,3.701851,,7.9793525,,,,,18.323496,7.05,14.842308,,,,-6.0390286,9.390042,14.722171,,,,10.731921,10.925736,,16.003551,,,4.546528,,,,8.331366,,,14.055593,,7.7392364,18.191246,,,,,7.1471076,5.672295,9.904361,,,,,,14.466371,,3.654468,10.199574,,,7.267877,11.70973,,4.1993,4.5097275,3.5654538,,13.699595,10.128892,,,8.267047,7.9888186,66.69442,17.533333,,5.7655954,7.025761,,,,21.899225,28.16104,,,9.04921,,,,,15.673329,7.271365,1.0815669,31.138454,9.653359,4.0764656,8.05501,,14.056025,,,,,,13.674625,,,14.842308,,,7.209786,16.453518,,12.480169,4.552076,,,,,7.5392513,9.897366,,,14.842308,,9.904361,5.4600153,7.271365,13.674625,14.722171,,63.54311,,12.948627,,,,66.844284,11.254471,,15.608479,,,,,4.169367,,11.119551,,,13.293658,,
21,1980,,15.066511,,,,,,9.626057,,,,,,10.135841,6.3283253,,2.4985194,6.6486883,,12.202637,,,3.869525,12.097837,,,,,47.24165,,14.43052,,,13.632425,,10.129221,,4.022501,,35.13834,,14.700981,9.551754,46.625908,,26.580645,,,18.13517,17.470304,,,,13.517561,,5.4410563,12.058023,,12.305325,16.753136,9.517824,,14.684503,,,,13.048985,20.819225,13.54007,,15.561902,,4.4825377,12.911443,,11.594619,14.492874,13.562579,,,12.34036,17.965925,,50.07014,,,6.8246155,,,24.675894,21.821434,,10.823843,,,13.533381,,18.061543,,,17.778305,9.285857,17.736654,,,13.858181,18.03543,,,11.346073,,18.154444,20.643915,,58.528427,131.025,21.064169,27.308159,11.111111,7.7785816,,13.858181,,,,17.736654,28.697609,6.9282265,18.13517,,,,9.734289,19.47773,17.919924,,,,26.14541,14.700981,,16.274841,,,6.2999,,,,9.40838,,,18.217865,,10.4227,26.351652,,,,,15.747254,0.6081531,11.584567,,,,,,41.999516,,6.6749196,11.839211,,,10.305276,9.972262,,6.5134554,10.878661,14.684503,,17.150545,13.634451,,13.571541,11.9382305,13.807902,59.145073,18.20051,,12.064343,9.6827135,,,,15.86748,22.44733,,,11.949971,,6.8,,,7.249393,13.311367,4.1692667,25.35237,8.729028,8.526943,13.090909,,17.366968,,,,,,13.601983,14.492874,,14.109707,,,13.706323,18.683975,,13.571541,19.296412,,,,,12.306857,19.7035,,,18.098356,,11.584567,22.393389,13.311367,13.601983,17.470304,,94.26086,,30.1973,,,,63.47583,13.549202,,17.207476,,,,,11.2401495,,33.04724,,,13.660241,,
22,1981,,14.461591,,8.799211,,,,10.758503,,,,,,9.487666,6.803042,,12.167395,7.6274867,,7.5557055,,,11.344597,11.114498,,,,,32.133602,101.725075,14.567563,9.137055,9.933143,16.428026,-0.033333335,12.471612,,6.4903097,,19.686832,,8.799211,10.7275,35.408264,,27.522936,,,37.056343,13.003202,,,,10.744694,,6.344241,5.7173676,13.266687,11.767387,7.514639,14.654842,,12.693979,,,,16.387474,10.317285,11.509756,,14.549346,,6.1359673,11.767387,,11.305757,11.180667,13.314405,,,8.706502,11.876627,,116.5036,,,5.944227,,,24.506067,18.787472,,11.433068,,,11.427176,,9.405691,11.336515,,10.858334,4.661414,14.396739,13.028648,12.023654,12.307785,12.265908,,,13.112547,,20.373524,24.20359,,51.793243,116.79999,17.9693,12.739718,7.7,4.912163,,11.603053,,,,10.476363,21.35164,7.3747816,14.797152,,,,11.199722,15.124845,14.449725,,,,17.968996,12.452895,12.974697,12.413261,,,8.072944,,,,12.492528,,,30.538177,,11.27216,27.933764,,13.028648,,,11.509756,0.31844473,11.846126,,,,,,14.461591,11.814697,9.7,11.403164,,,22.913408,20.812822,,6.7389264,13.642961,11.144856,,15.370159,13.642961,,10.744694,11.879913,7.3023286,75.433266,13.082599,,8.054227,19.127182,,,,19.040411,12.974697,,,11.767387,,8.520599,,,6.4506645,11.879913,2.7989821,24.575724,5.9131937,8.182022,16.398714,,14.797152,,,,12.413261,,12.290328,12.574459,,8.79397,,42.62295,12.103938,20.055798,,10.576791,18.394161,,,,,19.716503,12.662993,,,14.564519,,11.846126,14.899248,11.879913,12.290328,14.331886,,37.614784,,25.650024,,,,34.045338,10.334715,,12.735657,,,,,26.845638,12.471612,20.506624,,,15.254244,,
23,1982,,12.139917,,12.059765,,,,8.331256,,,,,,11.35182,5.436031,,5.8680964,8.726549,,12.059765,,,8.885713,6.012621,,,,,123.53572,100.54336,10.332466,6.3565893,9.904431,11.137206,13.296099,10.768971,,5.655102,,9.941027,,7.583126,13.25702,36.6997,,24.70024,,,90.12133,6.886832,,,,6.4327974,,5.241047,-2.4107144,4.394594,10.120826,7.646243,6.5425096,,10.240268,,,,16.257969,14.823009,9.584928,,14.415002,,5.890061,9.584928,,9.584928,7.031557,11.978472,,,16.685797,8.598864,,22.295567,,,10.855845,,,20.991089,7.8127413,,0.30738556,,,8.885713,10.970464,8.982622,12.31245,,7.3592424,6.835805,10.816586,10.83181,10.846858,7.1299067,9.445424,,,7.890743,,17.147114,18.689726,,50.243225,120.364395,16.480415,6.545408,7.428041,2.741041,,20.666716,,,,5.927223,7.1908464,7.7767982,7.8127413,,,,10.258809,4.6140676,8.397681,,,,10.825749,10.667614,10.837871,12.139917,,,9.357051,,,,10.527807,,,31.789705,,8.331256,58.91342,,10.393308,,,5.818234,5.3047404,10.393308,,,,,,11.415693,9.821162,5.8189,8.450199,,,11.641836,7.697747,,5.9110966,11.340996,11.698546,,16.163694,11.340996,,9.904431,5.9035287,4.2505717,64.44816,10.221727,,5.535055,103.558716,,,,21.679283,5.120065,,,9.470989,,5.7,,,12.565137,9.904431,1.0210396,25.71288,17.376385,3.9162867,12.983425,,11.728887,,,,12.139917,,12.099841,7.544575,,7.2764087,,30.112543,8.589185,10.807422,,-0.91264665,14.303329,,,,,11.129673,5.25908,,,8.397681,,10.393308,10.837871,9.904431,12.099841,11.634763,,29.137514,,28.932335,,,,18.992502,6.131427,,7.2282567,,,,,6.6725454,10.240268,18.296225,,,14.639032,,
24,1983,,11.567524,,10.671937,,,,5.4936657,,,,,,10.038911,3.3391645,,8.151232,7.6616096,,8.153763,,,2.9723992,4.0,,,,,275.58627,135.02768,5.230299,1.1661807,18.023716,10.477144,14.612611,5.863588,,2.9497945,,27.257195,,5.6404285,16.631226,76.526695,,19.487179,,,32.623707,4.8210535,,,,5.049714,,3.2934146,0.9018429,4.1479526,6.908229,5.6286235,5.967164,,10.360404,,,,48.433876,16.079874,8.669271,,12.174072,,-0.6753781,8.669271,,8.366293,6.704184,9.459548,,,10.671937,4.6093035,,122.87451,,,10.636304,,,20.179482,6.0953474,,4.538678,,,6.908229,9.885932,8.252811,11.126644,,10.243664,7.279896,11.833911,10.65412,8.804138,6.5331087,11.799741,,,11.868081,,10.44763,19.740189,,83.95004,145.95152,14.646577,11.582111,5.020167,1.8997197,,11.397782,,,,2.2915354,3.4206142,4.7181683,11.582111,,,,10.605204,1.4730586,10.912888,,,,13.964388,11.708363,10.636304,17.492355,,,8.669271,,,,6.2079353,,,19.328339,,5.4936657,101.87494,,11.03486,,,-0.88099754,5.6500835,6.167614,,,,,,5.589498,13.50251,3.7042356,4.5380116,,,-2.4896057,23.212332,,2.7408404,8.465244,12.377238,,7.341076,8.873021,,6.0526314,6.3620334,2.1028411,111.150635,10.029357,,7.9020977,25.53476,,,,24.002762,13.433756,,,7.310486,,2.743614,,,6.5930023,12.377238,0.19142419,30.587774,11.616984,1.1964108,6.234719,,13.314318,,,,11.567524,,11.482654,5.821065,,4.411808,,40.213493,8.873021,11.567524,,6.0526314,6.127292,,,,,9.355465,3.7265365,,,12.448215,,6.167614,9.813553,12.377238,11.482654,15.175,,31.39027,,27.055927,,,,49.19738,3.2124352,,5.458388,,,,,1.6533481,8.771147,16.460136,,,12.303207,,
