Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
36,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.93,0,-0.07,0,±0.30
,3,LINEAR,219,137,219.08,136.94,0.08,-0.06,±0.30
,4,LINEAR,0,137,0.04,136.99,0.04,-0.01,±0.30
37,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.94,0,-0.06,0,±0.30
,3,LINEAR,219,137,218.98,136.92,-0.02,-0.08,±0.30
,4,LINEAR,0,137,0.06,136.99,0.06,-0.01,±0.30
38,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.89,0,-0.11,0,±0.30
,3,LINEAR,219,137,218.99,136.98,-0.01,-0.02,±0.30
,4,LINEAR,0,137,-0.06,136.93,-0.06,-0.07,±0.30
39,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,219.03,136.98,0.03,-0.02,±0.30
,4,LINEAR,0,137,0.08,136.96,0.08,-0.04,±0.30
40,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.95,0,-0.05,0,±0.30
,3,LINEAR,219,137,219.02,136.98,0.02,-0.02,±0.30
,4,LINEAR,0,137,0.04,136.98,0.04,-0.02,±0.30
41,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.9,0,-0.1,0,±0.30
,3,LINEAR,219,137,219.02,136.91,0.02,-0.09,±0.30
,4,LINEAR,0,137,0,137.03,0,0.03,±0.30
42,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,219,137.01,0,0.01,±0.30
,4,LINEAR,0,137,0.02,136.99,0.02,-0.01,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
43,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,218.93,137.01,-0.07,0.01,±0.30
,4,LINEAR,0,137,-0.01,136.97,-0.01,-0.03,±0.30
44,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.94,0,-0.06,0,±0.30
,3,LINEAR,219,137,219.05,136.94,0.05,-0.06,±0.30
,4,LINEAR,0,137,0.08,136.97,0.08,-0.03,±0.30
45,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,219.01,136.94,0.01,-0.06,±0.30
,4,LINEAR,0,137,0.08,137.02,0.08,0.02,±0.30
46,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,219.04,136.9,0.04,-0.1,±0.30
,4,LINEAR,0,137,0.09,136.97,0.09,-0.03,±0.30
47,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.93,0,-0.07,0,±0.30
,3,LINEAR,219,137,218.98,136.99,-0.02,-0.01,±0.30
,4,LINEAR,0,137,-0.01,136.99,-0.01,-0.01,±0.30
48,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,219.01,136.98,0.01,-0.02,±0.30
,4,LINEAR,0,137,0,137.01,0,0.01,±0.30
49,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.95,0,-0.05,0,±0.30
,3,LINEAR,219,137,219.04,136.96,0.04,-0.04,±0.30
,4,LINEAR,0,137,0.05,137.06,0.05,0.06,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
50,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,219.03,136.99,0.03,-0.01,±0.30
,4,LINEAR,0,137,0.04,136.96,0.04,-0.04,±0.30
51,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,219.05,137,0.05,0,±0.30
,4,LINEAR,0,137,0.06,137.06,0.06,0.06,±0.30
52,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,219.01,137.03,0.01,0.03,±0.30
,4,LINEAR,0,137,-0.04,136.98,-0.04,-0.02,±0.30
53,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,219.06,136.96,0.06,-0.04,±0.30
,4,LINEAR,0,137,0.04,137.03,0.04,0.03,±0.30
54,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.95,0,-0.05,0,±0.30
,3,LINEAR,219,137,219.04,136.96,0.04,-0.04,±0.30
,4,LINEAR,0,137,0.01,136.98,0.01,-0.02,±0.30
55,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,219.08,137,0.08,0,±0.30
,4,LINEAR,0,137,0.08,137.06,0.08,0.06,±0.30
56,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219,0,0,0,±0.30
,3,LINEAR,219,137,219.08,137.02,0.08,0.02,±0.30
,4,LINEAR,0,137,0.07,137.04,0.07,0.04,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
57,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219.02,0,0.02,0,±0.30
,3,LINEAR,219,137,218.99,137.04,-0.01,0.04,±0.30
,4,LINEAR,0,137,-0.04,136.99,-0.04,-0.01,±0.30
58,1,LINEAR,0,0,0,0,0,0,±0.30
